title,company_era,developer,series,genre,subgenre,dimension,platform,platform_family,platform_type,release_year,region,sales,gross_revenue,critic_score,user_score,exclusivity_status,nintendo_relationship_era,japan_only
Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,Square Enix,TOSE Software,Dragon Quest,Adventure,Turn-Based RPG,Unknown,GBA,Nintendo,Handheld,2003.0,PAL,,,,,Exclusive,Post-Merger,True
,Enix,GameKids,Standalone,,,,GBA,,,,,,,,,Multiplatform,,False
Snap Kids,Enix,Enix Corporation,Standalone,Role-Playing,,Unknown,GBA,Nintendo,Handheld,2002.0,JP,,,,,Exclusive,Reconciliation,False
Snap Kids,Enix,Enix Corporation,Standalone,Role-Playing,,Unknown,GBA,Nintendo,Handheld,2002.0,NA,,,,,Exclusive,Reconciliation,False
Snap Kids,Enix,Enix Corporation,Standalone,Role-Playing,,Unknown,GBA,Nintendo,Handheld,2002.0,Other,,,,,Exclusive,Reconciliation,False
Snap Kids,Enix,Enix Corporation,Standalone,Role-Playing,,Unknown,GBA,Nintendo,Handheld,2002.0,PAL,,,,,Exclusive,Reconciliation,False
Sniper Assault,Square Enix,Phoenix Games,Standalone,Action,,Unknown,PS2,PlayStation,Home Console,2007.0,JP,,,,,Exclusive,N/A,False
Sniper Assault,Square Enix,Phoenix Games,Standalone,Action,,Unknown,PS2,PlayStation,Home Console,2007.0,NA,,,,,Exclusive,N/A,False
Sniper Assault,Square Enix,Phoenix Games,Standalone,Action,,Unknown,PS2,PlayStation,Home Console,2007.0,Other,,,,,Exclusive,N/A,False
Sniper Assault,Square Enix,Phoenix Games,Standalone,Action,,Unknown,PS2,PlayStation,Home Console,2007.0,PAL,,,,,Exclusive,N/A,False
,Square Enix,Square Enix,Standalone,,,,DS,,,,,,,,,Multiplatform,,False
Snoopy DS: Snoopy to Nakama Tachi ni Ai ni Ikou!,Square Enix,Square Enix,Standalone,Action,,Unknown,DS,Nintendo,Handheld,2008.0,JP,0.0,,,,Exclusive,Post-Merger,False
Snoopy DS: Snoopy to Nakama Tachi ni Ai ni Ikou!,Square Enix,Square Enix,Standalone,Action,,Unknown,DS,Nintendo,Handheld,2008.0,NA,,,,,Exclusive,Post-Merger,False
Snoopy DS: Snoopy to Nakama Tachi ni Ai ni Ikou!,Square Enix,Square Enix,Standalone,Action,,Unknown,DS,Nintendo,Handheld,2008.0,Other,,,,,Exclusive,Post-Merger,False
Snoopy DS: Snoopy to Nakama Tachi ni Ai ni Ikou!,Square Enix,Square Enix,Standalone,Action,,Unknown,DS,Nintendo,Handheld,2008.0,PAL,,,,,Exclusive,Post-Merger,False
Snow Rider,Square Enix,Phoenix Games,Standalone,Sports,,Unknown,PS2,PlayStation,Home Console,2006.0,JP,,,,,Exclusive,N/A,False
Snow Rider,Square Enix,Phoenix Games,Standalone,Sports,,Unknown,PS2,PlayStation,Home Console,2006.0,NA,,,,,Exclusive,N/A,False
Snow Rider,Square Enix,Phoenix Games,Standalone,Sports,,Unknown,PS2,PlayStation,Home Console,2006.0,Other,,,,,Exclusive,N/A,False
Snow Rider,Square Enix,Phoenix Games,Standalone,Sports,,Unknown,PS2,PlayStation,Home Console,2006.0,PAL,,,,,Exclusive,N/A,False
Son of the Lion King,Square Enix,Phoenix Games,Standalone,Action,,Unknown,PS2,PlayStation,Home Console,2006.0,JP,,,,,Exclusive,N/A,False
Son of the Lion King,Square Enix,Phoenix Games,Standalone,Action,,Unknown,PS2,PlayStation,Home Console,2006.0,NA,,,,,Exclusive,N/A,False
Son of the Lion King,Square Enix,Phoenix Games,Standalone,Action,,Unknown,PS2,PlayStation,Home Console,2006.0,Other,,,,,Exclusive,N/A,False
Son of the Lion King,Square Enix,Phoenix Games,Standalone,Action,,Unknown,PS2,PlayStation,Home Console,2006.0,PAL,,,,,Exclusive,N/A,False
Sonic Wings Special,Square Enix,Video System,Standalone,Shooter,,Unknown,PS1,PlayStation,Home Console,2004.0,JP,,,,,Exclusive,N/A,False
Sonic Wings Special,Square Enix,Video System,Standalone,Shooter,,Unknown,PS1,PlayStation,Home Console,2004.0,NA,,,,,Exclusive,N/A,False
Sonic Wings Special,Square Enix,Video System,Standalone,Shooter,,Unknown,PS1,PlayStation,Home Console,2004.0,Other,,,,,Exclusive,N/A,False
Sonic Wings Special,Square Enix,Video System,Standalone,Shooter,,Unknown,PS1,PlayStation,Home Console,2004.0,PAL,,,,,Exclusive,N/A,False
Soukaigi,Squaresoft,Yuke's,Standalone,Role-Playing,,Unknown,PS1,PlayStation,Home Console,1998.0,JP,0.13,,,,Exclusive,N/A,True
Soukaigi,Squaresoft,Yuke's,Standalone,Role-Playing,,Unknown,PS1,PlayStation,Home Console,1998.0,NA,,,,,Exclusive,N/A,True
Soukaigi,Squaresoft,Yuke's,Standalone,Role-Playing,,Unknown,PS1,PlayStation,Home Console,1998.0,Other,0.01,,,,Exclusive,N/A,True
Soukaigi,Squaresoft,Yuke's,Standalone,Role-Playing,,Unknown,PS1,PlayStation,Home Console,1998.0,PAL,,,,,Exclusive,N/A,True
Soul Blazer,Enix,Quintet,Soul Blazer,Role-Playing,Top-Down / God Game Hybrid,Unknown,SNES,Nintendo,Home Console,1992.0,JP,,,,,Exclusive,Pre-Split,False
Soul Blazer,Enix,Quintet,Soul Blazer,Role-Playing,Top-Down / God Game Hybrid,Unknown,SNES,Nintendo,Home Console,1992.0,NA,,,,,Exclusive,Pre-Split,False
Soul Blazer,Enix,Quintet,Soul Blazer,Role-Playing,Top-Down / God Game Hybrid,Unknown,SNES,Nintendo,Home Console,1992.0,Other,,,,,Exclusive,Pre-Split,False
Soul Blazer,Enix,Quintet,Soul Blazer,Role-Playing,Top-Down / God Game Hybrid,Unknown,SNES,Nintendo,Home Console,1992.0,PAL,,,,,Exclusive,Pre-Split,False
Soul Eater: Monotone Princess,Square Enix,Square Enix / Bones,Standalone,Action,,Unknown,Wii,Nintendo,Home Console,2008.0,JP,0.02,,,,Exclusive,Post-Merger,True
Soul Eater: Monotone Princess,Square Enix,Square Enix / Bones,Standalone,Action,,Unknown,Wii,Nintendo,Home Console,2008.0,NA,,,,,Exclusive,Post-Merger,True
Soul Eater: Monotone Princess,Square Enix,Square Enix / Bones,Standalone,Action,,Unknown,Wii,Nintendo,Home Console,2008.0,Other,,,,,Exclusive,Post-Merger,True
Soul Eater: Monotone Princess,Square Enix,Square Enix / Bones,Standalone,Action,,Unknown,Wii,Nintendo,Home Console,2008.0,PAL,,,,,Exclusive,Post-Merger,True
Source,Square Enix,Unknown,Standalone,Misc,,Unknown,PC,PC,PC,2015.0,JP,,,65.0,,Multiplatform,N/A,False
Source,Square Enix,Unknown,Standalone,Misc,,Unknown,PC,PC,PC,2015.0,NA,,,65.0,,Multiplatform,N/A,False
Source,Square Enix,Unknown,Standalone,Misc,,Unknown,PC,PC,PC,2015.0,Other,,,65.0,,Multiplatform,N/A,False
